Master_ID,Master_Category,Product_Name,Grams,Price_Per_Grams,Selling_Price,Stock,Supplier,Variation_Name_Lazada,Product_ID_Lazada,SKU_ID_Lazada,Key_Lazada,Quantity_Lazada,Product_ID_Shopee,Variation_ID_Shopee,Variation_Name_Shopee,Product_ID_Tiktok,SKU_ID_Tiktok,Variation_Name_Tiktok,Category_Tiktok,Quantity_Tiktok
,Earrings,Pawnable 18K Saudi Gold Cutting Link Clip Earrings,0.78 - 0.83,9000,9337,,GS,13 mm,15476866078,133097847509,75631b1ed157d4ea2165fb197e14c4d8,10,41123385981,291901445496,,1734939007536628778,1734939003694384170,Default,Gold Earrings (956808),10
,Earrings,Pawnable 18K Gold Shell Heart Roscas (Silicone Stopper),0.20 - 0.25,9000,2812,,668,5.5 mm,15476918903,133105184344,2bc9e9be24081ffef0b0a0c9ca6e18bd,1000,23861712127,400633928283,,1734614302055564330,1734614329552634922,Default,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Kitty Roscas (Silicone Stopper),0.25 - 0.30 ,9000,3375,,668,8 mm,15476960929,133105278072,1502595079c6900fce95bfb74a3a315b,1000,15999830996,176237385796,,1734612622628062250,1734612529544725546,Default,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Saudi Gold Single Inspired Clip Earrings,1.00 - 1.05,9000,11812,,GS,10 mm,15476967177,133104552879,7bf48cee2048c059f7d6745e644b791a,10,29744146972,400493354438,,1734921861488346154,1734921995294835754,Default,Gold Earrings (956808),5
,Earrings,Pawnable 18K Saudi Gold Mini Russian Diamond Clip Earrings,0.60 - 0.65,9000,7312,,SK,9 mm,15476972446,133105166253,44557902bc70d5c5943877307dafdca1,30,40053121095,265256322183,,1734922087231423530,1734922088462779434,Default,Gold Earrings (956808),10
,Earrings,Pawnable 18K Saudi Gold Mini Star Cutting Clip Earrings,1.15 - 1.20,9000,13500,,GS,9 mm,15476976454,133097981244,df008294ed6273121297175c44df137c,10,57658011714,330712130747,,1734922042892518442,1734921907097142314,Default,Gold Earrings (956808),10
,Earrings,Pawnable 18K Saudi Gold Mini Snake Clip Earrings,0.90 - 0.95,9000,10687,,GS,8 mm,15476978486,133105172206,9e6aa88589bdbdea4dd429ebaefefa16,10,44157549857,285641911907,,1734921905291756586,1734922049032324138,Default,Gold Earrings (956808),5
,Earrings,Pawnable 18K Gold Plain Cutting Heart Roscas (Silicone Stopper),0.20 - 0.25,9000,2812,,668,6 mm,15476982985,133098087329,e171ff84bef9dc530ab24455ab9dd65b,1000,18986577169,98835965799,,1734614227513148458,1734614228794246186,Default,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Saudi Gold Teardrop Clip Earrings,1.46 - 1.56,9000,17550,,GS,12 mm,15476999320,133097541652,3ac3e6c3166be26a8a52f83159ec8d57,10,49603847192,395363883426,,1734921998474314794,1734921825305265194,Default,Gold Earrings (956808),4
,Earrings,Pawnable 18K Gold Clover Roscas (Silicone Stopper),0.15 - 0.20 ,9000,2250,,668,4.5 mm,15477108020,133097987436,b9408ae2e9f6ab7576ce6e80aca660a5,999,23361708797,240053686339,4.5mm,1734612474912080938,1734612635035796522,4.5mm,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Clover Roscas (Silicone Stopper),0.25 - 0.30 ,9000,3375,,668,6.5 mm,15477108020,133097987437,a120c31fbc9fec7d1066965573a319b6,999,23361708797,240053686338,6.5mm,1734612474912080938,1734612510617207850,6.5mm,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Four Leaf Roscas (Silicone Stopper),0.35 - 0.40,9000,4500,,668,11 mm,15477108213,133097915913,ca3abf7a2b52db5359534d51db1c3814,1000,24952042602,297062249040,11mm,1734614065567728682,1734614220945196074,11mm,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Four Leaf Roscas (Silicone Stopper),0.25 - 0.30 ,9000,3375,,668,8 mm,15477108213,133097915912,b30ebe30cd6b276deea93b85ef3c5283,1000,24952042602,222312765271,8mm,1734614065567728682,1734614220945130538,8mm,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Four Leaf Roscas (Silicone Stopper),0.20 - 0.25,9000,2812,,668,6 mm,15477108213,133097915911,93d3f878c5eb49125f628993cd86dc8b,1000,24952042602,222312765272,6mm,1734614065567728682,1734614220945065002,6mm,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Shining Heart Roscas (Silicone Stopper),0.15 - 0.20 ,9000,2250,,668,5.5 mm,15477120056,133105258019,01b4455ded2fd4fb7f4259fdcb77b9d3,1000,24152047131,207174415294,,1734612643876340778,1734612645569791018,Default,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Butterfly Roscas (Silicone Stopper),0.20 - 0.25,9000,2812,,668,6.5 mm,15477136286,133105224360,34835744f67495e77460112dbcd7b6b9,1000,25502043271,177964453559,,1734612714012050474,1734612630388507690,Default,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Cutting Heart Roscas (Silicone Stopper),0.20 - 0.25,9000,2812,,668,6 mm,15477137731,133098051199,46562709ae6a806d03b304e2c088abbe,1000,22261659991,235842649436,,1734612517053301802,1734612643645064234,Default,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Mini Infinity Roscas (Silicone Stopper),0.20 - 0.25,9000,2812,,668,8 mm,15477142313,133098029689,3fde5504f911d91b42b820d6c7109882,1000,24502032156,127785171620,,1734612732543861802,1734612782544880682,Default,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Saudi Gold Mini Huggies Twist Hoop Earrings,1.05 - 1.10,9000,12375,,GS,11 mm,15477142762,133105456072,2e37ae9396690b673da78d4a7d2eda1f,20,48250699987,330061890755,,1734973308004500522,1734973307260666922,Default,Gold Earrings (956808),20
,Earrings,Pawnable 18K Gold Border Heart Roscas (Silicone Stopper),0.15 - 0.20 ,9000,2250,,668,5.5 MM,15477148175,133098075625,101937207165da7051d07aed332ad413,1000,19695527074,400633581707,,1734612772017308714,1734612693430862890,Default,Gold Earrings (956808),999
,Earrings,Pawnable 18K Gold Checkered Heart Roscas (Silicone Stopper),0.20 - 0.25,9000,2812,,668,6.5 mm,15477157648,133105130673,3b3232b1d5d18bbb6c0a442517c20875,1000,24452048002,127785315613,,1734612512653607978,1734612639773262890,Default,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Mini Four Leaf Ear Huggies,0.14 - 0.18,9000,2025,,668,1 Piece,15477162560,133098163844,3b212ae7688dc0a32f79d61f8ee51285,1000,56407188477,169143159629,1 Piece,1734645919626069034,1734645803197563946,1 Piece,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Mini Four Leaf Ear Huggies,0.30 - 0.35,9000,3937,,668,1 Pair,15477162560,133098163845,f1586463435c72339e90fed05cef5317,1000,56407188477,169143159630,1 Pair,1734645919626069034,1734645803197629482,1 Pair,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Mini Heart Ear Huggies,0.13 - 0.16,9000,1800,,668,1 Piece,15477170313,133105258927,a66666faeb7ece4d3e19a59eb36f1e94,1000,23183698644,228256814825,1 Piece,1734645810931598378,1734646016402490410,1 Piece,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Mini Heart Ear Huggies,0.25 - 0.30 ,9000,3375,,668,1 Pair,15477170313,133105258928,2dcd60e0995d1fda6b1b1a7c1373029e,999,23183698644,224661170872,1 Pair,1734645810931598378,1734646016402555946,1 Pair,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Mini Russian Diamond Ear Huggies,0.13 - 0.16,9000,1800,,668,1 Piece,15477170753,133098267386,0226e63e822035f0c65dc95ef01656c2,1000,22883704223,350641264076,1 Piece,1734645803580294186,1734646009910690858,1 Piece,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Mini Russian Diamond Ear Huggies,0.25 - 0.30 ,9000,3375,,668,1 Pair,15477170753,133098267387,cde869553015f4c97e033b163626633f,1000,22883704223,350641264077,1 Pair,1734645803580294186,1734646009910756394,1 Pair,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Saudi Gold Cutting Dangling Heart Huggies Hoop Earrings,2.35 - 2.40,9000,27000,,FG,12 mm,15477178521,133098237798,a8253ea177e0ebe040110f9614b942b0,5,16598927573,235653813748,,1734983130991264810,1734983163474641962,Default,Gold Earrings (956808),2
